Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
1,25,1,1,2,2,I'm living with him because he's a close friend and religiously sound.,1,0,1,1,3,0,2,1,0,,,,3,,0
2,29,2,1,2,2,I don't want to be lonely,1,1,2,1,2,0,1,1,1,20,2,2,3,2,1
1,30,2,2,2,5,Living alone because I love privacy,1,0,2,1,3,1,1,1,1,25,2,1,3,2,0
1,25,1,1,2,5,Privacy,1,0,2,1,2,0,2,1,0,,,,3,,0
1,24,1,1,2,2,School mate,1,0,1,2,3,0,2,1,0,,,,2,,0
1,22,2,2,1,2,Hostel,1,1,2,1,3,0,2,0,1,19,2,2,2,1,1
1,20,2,2,2,5,No one,1,0,2,2,2,1,3,0,1,15,2,1,2,1,0
1,20,2,2,2,2,Because we are in the same department.,1,1,2,1,3,0,3,0,0,,,,2,,0
2,21,2,1,2,5,I need privacy,1,0,2,1,3,0,3,1,1,18,2,1,2,1,0
2,20,2,1,2,5,Privacy,1,0,2,2,2,0,3,1,1,20,2,1,2,2,0
1,25,1,1,2,5,Student,1,0,2,1,3,0,1,1,0,,,,3,,0
1,23,1,1,1,2,HE IS A FRIEND,1,1,1,1,3,0,1,1,0,,,,2,,0
1,20,2,1,1,2,FINANCE & INSECURITY,1,0,1,2,3,0,1,1,0,,,,2,,0
1,20,1,2,2,1,I Am from ife...,1,0,1,1,2,0,1,1,0,,,,2,,0
1,23,2,2,2,5,I just feel like,1,1,1,2,2,0,3,0,1,17,2,2,2,1,1
1,21,2,1,2,2,Social custom,1,0,2,2,3,0,1,1,0,,,,2,,0
1,20,2,1,2,2,I love staying alone,1,0,2,1,3,0,2,0,1,16,2,1,2,1,0
1,20,2,1,2,5,"I also like to be alone, i don't have strength to fight",1,0,2,1,3,0,2,0,1,16,2,2,2,1,1
1,21,2,1,2,2,we have value in common,1,1,2,1,3,1,3,1,1,19,2,1,2,1,0
1,20,2,1,1,2,Nil,1,0,2,1,3,0,1,1,0,,,,2,,0
1,18,2,2,1,2,Cause i'm in hostel & there is no choice,1,0,2,2,3,0,1,1,0,,,,1,,0
1,21,2,1,1,2,As per roommate we can't  choose who we are to stay with on campus,1,0,2,1,3,0,1,1,1,17,2,1,2,1,0
2,22,1,1,2,5,Because i enjoy my alone time,1,0,2,2,3,0,1,1,0,,,,2,,0
1,25,2,2,2,5,Nil,1,0,2,1,3,0,2,0,1,15,2,2,3,1,1
1,20,2,1,1,2,They are the roommate school gave me,1,0,2,2,3,0,2,0,0,,,,2,,0
1,20,2,1,2,2,So we can share rent,1,0,2,1,3,0,2,0,1,18,2,1,2,1,0
1,21,2,1,2,5,Personal reasons,1,0,2,1,3,0,2,1,1,19,2,1,2,1,0
1,19,2,2,1,2,I use him even though he is an asshole,1,0,1,2,3,0,2,1,0,,,,1,,0
1,21,2,1,1,2,Sch authority paired us together in hostel,1,0,2,1,3,0,1,1,0,,,,2,,0
1,21,2,1,1,2,Because...,1,0,2,1,3,1,2,0,1,12,2,2,2,1,1
1,24,2,1,2,2,He is my friend,1,1,2,2,3,0,1,1,0,,,,2,,0
1,21,2,1,1,2,Because i love to,1,0,2,1,3,1,2,0,1,12,2,2,2,1,1
1,20,2,2,2,2,I don't have a specific reason,1,1,2,1,3,0,3,0,0,,,,2,,0
1,27,1,1,2,1,Cause there are my parent,1,1,2,1,3,0,1,1,0,,,,3,,0
2,21,1,1,1,2,Staying in school hostel,1,0,2,1,3,0,3,1,0,,,,2,,0
