Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
Female,20,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Cause where I stay is a bit distant to campus so I stay alone,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Few,Yes,No,,,,22-26,,No
Male,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,No reason,Single,No,Greater-than #5000,Stable,Labor,No,None,Yes,No,,,,27and above,,No
Male,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Family friend,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,No,,,,27and above,,No
Male,26,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,School,Single,No,Greater-than #5000,Stable,Labor,No,None,Yes,Yes,23,Boyfriend/Girlfriend,One,27and above,Late,No
Male,22,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,I can't afford to rent an apartment alone,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Few,No,No,,,,22-26,,No
Male,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,I love my individual privacy,Single,Yes,Greater-than #5000,Unstable,Labor,No,Few,Yes,Yes,20,Boyfriend/Girlfriend,More than,22-26,Late,Yes
Male,25,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,Finance,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Few,No,Yes,15,Boyfriend/Girlfriend,More than,27and above,Early,Yes
Female,25,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,We are sent out of the campus,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,27and above,,No
Male,23,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,I value my privacy,Single,No,Greater-than #5000,Unstable,Labor,No,None,Yes,Yes,18,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,25,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Nil,Single,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,20,Boyfriend/Girlfriend,One,27and above,Late,No
Female,19,Islamic,Occasionally attends (less than or equal to twice in month),Campus,Parent/relatives.,They are my parents.,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,17-21,,No
Male,22,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Stable,Labor,No,Few,No,Yes,16,Boyfriend/Girlfriend,One,22-26,Early,No
Female,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,I like to live alone in school,Married,No,Less-than #5000,Stable,Parent/relatives.,No,None,Yes,Yes,24,Spouse,One,22-26,Late,No
Male,27,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,We're friends/course mates,Single,No,Greater-than #5000,Stable,Labor,No,None,Yes,No,,,,27and above,,No
Female,20,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Because I'm in school,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,22-26,,No
Female,23,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,I did not get accommodation on campus,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Female,21,Islamic,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,Because I'm still single,Single,No,Greater-than #5000,Unstable,Labor,No,Few,Yes,No,,,,22-26,,No
Female,20,Christianity,Frequently attends (more than twice in a month),Campus,Cohabiting,I live in an hostel with 27and above people per room. It's mandatory,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Female,22,Islamic,Frequently attends (more than twice in a month),Campus,Parent/relatives.,I'm living with my parent because of the closure of school,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,No,No,,,,22-26,,No
Male,27,Christianity,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,I am currently living with my roommate because that is the way the hostel is being designed,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,None,No,Yes,25,Boyfriend/Girlfriend,One,27and above,Late,No
Female,23,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,I'm leaving alone because I?m in school but at home I stay with my parents,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
Male,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Because am no more a kid,Single,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,21,Boyfriend/Girlfriend,More than,22-26,Late,Yes
Female,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,That's my preferred arrangement,Single,No,Greater-than #5000,Stable,Parent/relatives.,Yes,Few,No,Yes,16,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,27,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Because I'm an OAU student currently,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Few,Yes,No,,,,27and above,,No
Male,21,Islamic,Frequently attends (more than twice in a month),Campus,Parent/relatives.,Got no other place,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,Yes,Yes,20,Boyfriend/Girlfriend,One,22-26,Late,No
Female,23,Islamic,Frequently attends (more than twice in a month),Campus,Friends/Roommates,School as choose,Single,No,Less-than #5000,Unstable,Labor,No,Few,No,No,,,,22-26,,No
Male,18,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,They are my friends,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,17-21,,No
Female,26,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,For privacy,Single,No,Less-than #5000,Unstable,Labor,No,None,Yes,No,,,,27and above,,No
Female,19,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,She is the one of the best people i met on this campus,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,17-21,,No
Male,25,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,To protect my privacy,Single,No,Greater-than #5000,Stable,Labor,No,Many,Yes,Yes,18,Other,More than,27and above,Early,Yes
Female,30,Christianity,Frequently attends (more than twice in a month),Off-campus,Spouse,He is my husband,Married,No,Greater-than #5000,Stable,Labor,No,None,Yes,Yes,18,Spouse,One,27and above,Early,No
Female,29,Christianity,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,No answer,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,27and above,,No
Male,24,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Privacy,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Few,No,Yes,21,Boyfriend/Girlfriend,One,22-26,Late,No
Male,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,I'm living with him because he's a close friend and religiously sound.,Single,No,Less-than #5000,Stable,Parent/relatives.,No,Many,Yes,No,,,,27and above,,No
Female,29,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,I don't want to be lonely,Single,Yes,Greater-than #5000,Stable,Labor,No,None,Yes,Yes,20,Boyfriend/Girlfriend,More than,27and above,Late,Yes
Male,30,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Living alone because I love privacy,Single,No,Greater-than #5000,Stable,Parent/relatives.,Yes,None,Yes,Yes,25,Boyfriend/Girlfriend,One,27and above,Late,No
Male,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Stable,Labor,No,Many,Yes,No,,,,27and above,,No
Male,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,School mate,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,Yes,No,,,,22-26,,No
